Município,Internações,Valor total,Óbitos,,,,
170070 ALVORADA,718,"345775,26",9,,,,
170100 ANANAS,279,"105846,97",2,,,,
170190 ARAGUACEMA,1488,"609100,74",-,,,,
170200 ARAGUACU,880,"368486,64",22,,,,
170210 ARAGUAINA,53449,"90954582,49",2048,,,,
170220 ARAGUATINS,1761,"1396930,51",3,,,,
170230 ARAPOEMA,2526,"1289394,97",35,,,,
170240 ARRAIAS,3428,"1514300,63",44,,,,
170255 AUGUSTINOPOLIS,8917,"5212497,11",418,,,,
170370 BREJINHO DE NAZARE,34,"9664,26",-,,,,
170550 COLINAS DO TOCANTINS,3779,"2101703,95",74,,,,
170610 CRISTALANDIA,49,"45819,14",-,,,,
170700 DIANOPOLIS,3621,"2110760,61",55,,,,
170710 DIVINOPOLIS DO TOCANTINS,276,"137121,86",-,,,,
170730 DUERE,164,"106472,67",-,,,,
170820 FORMOSO DO ARAGUAIA,1511,"774963,41",13,,,,
170900 GOIATINS,240,"91085,25",4,,,,
170930 GUARAI,6151,"3573065,89",125,,,,
170950 GURUPI,20293,"20959919,35",858,,,,
171050 ITACAJA,320,"115911,81",3,,,,
171190 LAGOA DA CONFUSAO,75,"31445,62",-,,,,
171320 MIRACEMA DO TOCANTINS,7359,"6058676,13",66,,,,
171420 NATIVIDADE,197,"109033,57",-,,,,
171575 PALMEIROPOLIS,184,"147273,8",1,,,,
171610 PARAISO DO TOCANTINS,13178,"7441817,47",143,,,,
171620 PARANA,662,"282256,78",2,,,,
171650 PEDRO AFONSO,2189,"1097310,65",37,,,,
171660 PEIXE,587,"299027,95",2,,,,
171700 PINDORAMA DO TOCANTINS,327,"219362,27",-,,,,
171750 PIUM,1069,"624534,45",1,,,,
171790 PONTE ALTA DO TOCANTINS,156,"59370,52",5,,,,
171820 PORTO NACIONAL,12245,"7230938,68",459,,,,
172065 SILVANOPOLIS,190,"61383,26",1,,,,
172080 SITIO NOVO DO TOCANTINS,693,"742508,63",-,,,,
172090 TAGUATINGA,1226,"729215,22",15,,,,
172100 PALMAS,58287,"99897516,53",2897,,,,
172120 TOCANTINOPOLIS,2038,"1213175,26",21,,,,
172210 XAMBIOA,2790,"1496357,2",80,,,,
Total,213336,"259564607,51",7443,,,,S
&,,,,,,,
