Município,2024/Jan,2024/Fev,2024/Mar,2024/Abr,2024/Mai,2024/Jun,2024/Jul,2024/Ago,2024/Set,2024/Out,2024/Nov,2024/Dez,2025/Jan,2025/Fev,2025/Mar,2025/Abr,2025/Mai,2025/Jun,2025/Jul,2025/Ago,2025/Set,2025/Out,2025/Nov,2025/Dez,Total
170070 ALVORADA,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,2,-,-,-,-,1,1,9
170100 ANANAS,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2
170200 ARAGUACU,-,1,-,1,-,-,-,5,1,-,-,2,3,-,2,1,1,1,-,-,-,-,2,2,22
170210 ARAGUAINA,59,108,91,96,90,84,87,70,67,82,81,68,112,92,111,71,86,71,141,85,66,66,80,84,2048
170220 ARAGUATINS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,3
170230 ARAPOEMA,2,-,-,2,1,1,1,1,-,1,-,2,1,3,2,-,4,4,4,1,-,4,1,-,35
170240 ARRAIAS,-,3,1,4,1,1,1,1,4,3,4,4,5,-,3,-,3,1,2,-,-,2,-,1,44
170255 AUGUSTINOPOLIS,13,23,14,21,13,10,11,12,23,11,14,12,20,23,14,28,18,12,23,30,10,22,16,25,418
170550 COLINAS DO TOCANTINS,3,2,1,1,10,5,3,3,2,2,6,3,3,2,6,2,2,2,1,-,3,2,4,6,74
170700 DIANOPOLIS,1,1,1,2,1,4,3,-,1,5,7,2,5,2,2,1,-,2,2,3,4,4,1,1,55
170820 FORMOSO DO ARAGUAIA,-,-,1,-,1,-,1,-,-,-,-,1,-,1,-,1,1,-,-,2,2,1,1,-,13
170900 GOIATINS,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,4
170930 GUARAI,8,5,4,6,12,7,2,7,6,8,6,5,4,4,6,2,3,3,2,6,2,3,5,9,125
170950 GURUPI,39,24,37,29,48,39,28,31,30,33,35,24,35,33,43,34,52,40,35,38,41,46,36,28,858
171050 ITACAJA,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,3
171320 MIRACEMA DO TOCANTINS,1,1,-,1,1,1,7,9,1,1,1,4,3,1,4,3,4,3,6,2,3,2,3,4,66
171575 PALMEIROPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
171610 PARAISO DO TOCANTINS,7,5,9,8,6,2,11,12,9,1,3,3,1,9,6,7,1,-,15,9,3,5,9,2,143
171620 PARANA,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
171650 PEDRO AFONSO,2,2,2,2,1,-,-,1,1,1,1,4,1,2,1,4,5,3,1,1,-,1,1,-,37
171660 PEIXE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2
171750 PIUM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
171790 PONTE ALTA DO TOCANTINS,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,-,-,-,-,-,-,5
171820 PORTO NACIONAL,16,20,24,31,25,10,11,17,8,9,17,23,19,15,15,21,34,25,33,5,15,29,17,20,459
172065 SILVANOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
172090 TAGUATINGA,-,-,-,-,2,1,-,1,5,-,1,1,-,1,-,-,-,-,1,-,-,2,-,-,15
172100 PALMAS,144,123,112,128,132,115,126,124,134,125,102,104,127,96,105,74,73,93,156,131,274,111,61,127,2897
172120 TOCANTINOPOLIS,2,3,1,1,-,3,-,-,2,1,1,-,-,1,2,-,-,-,1,1,1,1,-,-,21
172210 XAMBIOA,4,2,3,-,5,4,2,2,5,5,-,3,2,-,6,8,8,5,2,3,7,2,-,2,80
Total,302,324,301,333,349,288,294,297,299,289,279,268,343,286,328,261,300,269,427,318,431,303,241,313,7443
&,,,,,,,,,,,,,,,,,,,,,,,,,
